Otu,phylum,subphylum,class,order,family,genus,species,trophic.mode,guild
Otu1803,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu1859,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Capronia_peltigerae|SH209735.06FU,NA,NA
Otu1887,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Ascomycota_sp|SH226964.06FU,Pathotroph,Plant Pathogen
Otu1933,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu2169,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Mallochia_reticulata|SH217888.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu218,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu2210,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Capronia_peltigerae|SH209735.06FU,NA,NA
Otu2380,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Dothideomycetes_sp|SH190252.06FU,NA,NA
Otu2450,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Tiarosporella,Sphaeropsis_sapinea|SH236129.06FU,Symbiotroph,Endophyte
Otu256,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH219442.06FU,NA,NA
Otu2590,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209754.06FU,NA,NA
Otu2602,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH219442.06FU,NA,NA
Otu2618,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Thermomyces_lanuginosus|SH198685.06FU,Pathotroph,Plant Pathogen
Otu2673,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Knufia_perforans|SH209750.06FU,NA,NA
Otu2750,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Aplosporellaceae,Aplosporella,Ochroconis_calidifluminalis|SH241393.06FU,Pathotroph,Plant Pathogen
Otu2767,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Dothideomycetes_sp|SH190252.06FU,NA,NA
Otu2779,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Onygenales_sp|SH239736.06FU,Pathotroph,Plant Pathogen
Otu2839,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Cephaliophora_tropica|SH235313.06FU,Pathotroph,Plant Pathogen
Otu291,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Dothideomycetes_sp|SH238906.06FU,Pathotroph,Plant Pathogen
Otu299,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Knufia_perforans|SH209750.06FU,NA,NA
Otu311,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Herpotrichiellaceae_sp|SH209738.06FU,NA,NA
Otu3137,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Massaria_aucupariae|SH240306.06FU,Pathotroph,Plant Pathogen
Otu3236,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Trichocomaceae_sp|SH225848.06FU,Pathotroph,Plant Pathogen
Otu3254,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Schizosaccharomyces_cryophilus|SH239688.06FU,Pathotroph,Plant Pathogen
Otu33,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu3472,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Herpotrichiellaceae_sp|SH209738.06FU,NA,NA
Otu3523,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Auxarthron_alboluteum|SH209162.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu3588,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu3694,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Tiarosporella,Macrophomina_phaseolina|SH235476.06FU,Symbiotroph,Endophyte
Otu3824,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Herpotrichiellaceae_sp|SH209738.06FU,NA,NA
Otu3841,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Auxarthron_kuehnii|SH217889.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu388,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Knufia_perforans|SH209750.06FU,NA,NA
Otu3957,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209754.06FU,NA,NA
Otu3968,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Herpotrichiellaceae_sp|SH209738.06FU,NA,NA
Otu4008,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Pulchromyces_fimicola|SH227367.06FU,NA,NA
Otu405,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH219442.06FU,NA,NA
Otu4196,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Mallochia_reticulata|SH217888.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu420,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu4237,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Knufia_perforans|SH209750.06FU,Pathotroph,Plant Pathogen
Otu427,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Tiarosporella,Sphaeropsis_sapinea|SH236129.06FU,Symbiotroph,Endophyte
Otu4280,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209754.06FU,NA,NA
Otu4287,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Scutellinia_sp|SH230992.06FU,Pathotroph,Plant Pathogen
