sample,block,Rep,Plot_ind,Treatments,disturbance,vegetation.type,invasion,Beta_umolgSOC-1h-1,Nag_umolgSOC-1h-1,Phos_umolgSOC-1h-1,Beta:Nag,Beta:Phos,Nag:Phos,Beta_Prop,Nag_Prop,Phos_Prop,SOC.percent,N.percent,H.percent,S.percentIR,C:N,C:P,N:P,pH,ActiveC.to.TotalC,Active_C_mgkg-1,C.mgperkg,N.mgperkg,P.mgperkg,Mg.mgperkg,Mn.mgperkg,Fe.mgperkg,K.mgperkg,Ca.mgperkg,Ca_NoHIGH.mgperkg,Clay.percent,Sand.percent,Silt.percent,Texture.class
3UGN.1,3,1,3F,UGN,Undisturbed,Grassland,Invaded,12779.18489,1199.364414,40919.18879,10.65,0.31,0.03,0.233,0.022,0.745,0.589,0.063,0.325,0.003,9.3492,51.67,5.53,6.44,0.152504465,898.2513,5890,630,114,734,506,469,1714,5019,5019,17.6,75.4,7,Sandy Loam
3UGN.2,3,2,3F,UGN,Undisturbed,Grassland,Invaded,11842.95208,4905.318802,49656.49667,2.41,0.24,0.1,0.178,0.074,0.748,0.601,0.059,0.302,0.004,10.1864,34.74,3.41,6.02,0.184267055,1107.445,6010,590,173,1094,482,466,1362,5026,5026,17.6,75.4,7,Sandy Loam
3UGN.3,3,3,3F,UGN,Undisturbed,Grassland,Invaded,13118.52602,4751.335498,62041.94416,2.76,0.21,0.08,0.164,0.059,0.776,0.462,0.052,0.157,0.01,8.8846,31.22,3.51,6.07,0.217859091,1006.509,4620,520,148,758,500,567,1278,5034,5034,17.6,75.4,7,Sandy Loam
3UGN.4,3,4,3F,UGN,Undisturbed,Grassland,Invaded,15736.41301,5769.006568,48257.63199,2.73,0.33,0.12,0.226,0.083,0.692,0.472,0.053,0.095,0.029,8.9057,33.48,3.76,7.01,0.191744195,905.0326,4720,530,141,924,457,426,1613,5515,5515,17.6,75.4,7,Sandy Loam
3UGN.5,3,5,3F,UGN,Undisturbed,Grassland,Invaded,21389.26325,4926.478143,75679.87872,4.34,0.28,0.07,0.21,0.048,0.742,0.517,0.049,0.209,0.051,10.551,33.14,3.14,6.58,0.204033075,1054.851,5170,490,156,1001,581,565,1754,7946,7946,17.6,75.4,7,Sandy Loam
3UML.1,3,1,3G,UML,Undisturbed,Motte,Uninvaded,12287.45191,3878.256476,31750.35807,3.17,0.39,0.12,0.256,0.081,0.663,0.942,0.104,0.292,0,9.0577,40.26,4.44,5.38,0.098189055,924.9409,9420,1040,234,1252,528,764,2143,9349,9349,14.6,76.4,9,Sandy Loam
3UML.2,3,2,3G,UML,Undisturbed,Motte,Uninvaded,5635.516743,3126.89556,6326.826931,1.8,0.89,0.49,0.373,0.207,0.419,1.836,0.189,0.313,0.046,9.7143,39.31,4.05,6.4,0.057525545,1056.169,18360,1890,467,2353,651,433,2447,20273,,14.6,76.4,9,Sandy Loam
3UML.3,3,3,3G,UML,Undisturbed,Motte,Uninvaded,22884.79167,2904.820504,12739.07895,7.88,1.8,0.23,0.594,0.075,0.331,0.912,0.113,0.377,0.008,8.0708,22.97,2.85,7.78,0.115615241,1054.411,9120,1130,397,4042,508,243,3052,31292,,14.6,76.4,9,Sandy Loam
3UML.4,3,4,3G,UML,Undisturbed,Motte,Uninvaded,10932.30201,1978.695514,18096.83011,5.53,0.6,0.11,0.353,0.064,0.584,0.847,0.091,0.312,0.016,9.3077,49.53,5.32,4.94,0.128505785,1088.444,8470,910,171,1384,378,512,2166,8839,8839,14.6,76.4,9,Sandy Loam
3UML.5,3,5,3G,UML,Undisturbed,Motte,Uninvaded,12682.58987,3105.731472,32408.71775,4.08,0.39,0.1,0.263,0.064,0.672,1.057,0.132,0.2377,0.0123,7.9836,51.79,6.49,6.14,0.097006815,1024.877,10565,1323.333333,204,1610,451,488,1686,12503,12503,14.6,76.4,9,Sandy Loam
3UMN.1,3,1,3H,UMN,Undisturbed,Motte,Invaded,9158.449157,5308.423204,14145.33398,1.73,0.65,0.38,0.32,0.186,0.494,0.724,0.075,0.186,0.012,9.6533,24.97,2.59,4.97,0.130999116,948.4336,7240,750,290,629,292,670,1903,4566,4566,16.6,73.4,10,Sandy Loam
3UMN.2,3,2,3H,UMN,Undisturbed,Motte,Invaded,7263.47539,3147.752356,31932.17147,2.31,0.23,0.1,0.172,0.074,0.754,1.167,0.124,0.321,0.005,9.4113,43.87,4.66,5.93,0.092384576,1078.128,11670,1240,266,1218,452,479,1650,12219,12219,16.6,73.4,10,Sandy Loam
3UMN.3,3,3,3H,UMN,Undisturbed,Motte,Invaded,14840.40524,5818.755882,43030.39403,2.55,0.34,0.14,0.233,0.091,0.676,1.088,0.118,0.15,0.016,9.2203,25.19,2.73,6.26,0.098993199,1077.046,10880,1180,432,1898,443,360,1992,17073,17073,16.6,73.4,10,Sandy Loam
3UMN.4,3,4,3H,UMN,Undisturbed,Motte,Invaded,4161.902557,2447.209055,14040.20453,1.7,0.3,0.17,0.202,0.119,0.68,0.751,0.077,0.106,0.012,9.7532,192.56,19.74,5.43,0.140991478,1058.846,7510,770,39,5,21,23,57,547,547,16.6,73.4,10,Sandy Loam
3UMN.5,3,5,3H,UMN,Undisturbed,Motte,Invaded,7568.497555,2544.738323,18743.80279,2.97,0.4,0.14,0.262,0.088,0.65,1.002,0.114,0.241,0,8.7895,31.12,3.54,6.47,0.1037498,1039.573,10020,1140,322,2199,742,451,2045,22381,22381,16.6,73.4,10,Sandy Loam
