block,invasion,disturbance,vegetation.type,sample,Sequencing.name,plot,fungal.spec.richness,fungal.fisher.alpha,bacterial.spec.richness,bacterial.fisher.alpha,plant.shannon,plant.invsimpson,plant.spec.richness,Beta_umolgSOC.1h.1,Nag_umolgSOC.1h.1,Phos_umolgSOC.1h.1
3,Invaded,Disturbed,Woody patch,3DMN.2,8091,3DMN,145,34.73118297,2113,1046.886339,0.163038582,1.067119062,3,4117.339788,5562.463376,8338.237091
3,Invaded,Disturbed,Woody patch,3DMN.3,8092,3DMN,125,29.35747352,2632,1587.855077,0.163038582,1.067119062,3,9179.497133,8753.801931,35112.1958
3,Invaded,Disturbed,Woody patch,3DMN.4,8093,3DMN,207,51.69978957,3077,3099.372132,0.163038582,1.067119062,3,17110.82006,3570.323971,72740.96808
3,Invaded,Disturbed,Woody patch,3DMN.5,8094,3DMN,160,39.5292101,103,696.9689029,0.163038582,1.067119062,3,9679.113099,6159.179437,42669.44366
3,Invaded,Undisturbed,Grassland,3UGN.1,8080,3UGN,193,50.09014045,2105,2222.244667,0.600406096,1.393113625,5,12779.18489,1199.364414,40919.18879
3,Invaded,Undisturbed,Grassland,3UGN.2,8081,3UGN,224,57.15557979,3698,3283.437496,0.600406096,1.393113625,5,11842.95208,4905.318802,49656.49667
3,Invaded,Undisturbed,Grassland,3UGN.3,8082,3UGN,240,62.33840398,3532,3106.098932,0.600406096,1.393113625,5,13118.52602,4751.335498,62041.94416
3,Invaded,Undisturbed,Grassland,3UGN.4,8083,3UGN,214,53.22763116,2070,2823.214231,0.600406096,1.393113625,5,15736.41301,5769.006568,48257.63199
3,Invaded,Undisturbed,Grassland,3UGN.5,8084,3UGN,148,36.77982045,3222,2606.97451,0.600406096,1.393113625,5,21389.26325,4926.478143,75679.87872
3,Invaded,Undisturbed,Woody patch,3UMN.1,8070,3UMN,148,37.25416537,1914,1208.485245,0,1,1,9158.449157,5308.423204,14145.33398
3,Invaded,Undisturbed,Woody patch,3UMN.2,8071,3UMN,161,39.20051388,2999,1581.385506,0,1,1,7263.47539,3147.752356,31932.17147
3,Invaded,Undisturbed,Woody patch,3UMN.3,8072,3UMN,140,33.9797271,2438,1939.890737,0,1,1,14840.40524,5818.755882,43030.39403
3,Invaded,Undisturbed,Woody patch,3UMN.4,8073,3UMN,190,47.54204249,3251,1638.729199,0,1,1,4161.902557,2447.209055,14040.20453
3,Invaded,Undisturbed,Woody patch,3UMN.5,8074,3UMN,172,44.23299074,3207,2088.861141,0,1,1,7568.497555,2544.738323,18743.80279
3,Uninvaded,Disturbed,Grassland,3DGL.1,8095,3DGL,166,42.05504289,4229,3253.280387,1.530025638,2.986314273,12,21357.03985,7971.079401,53472.44341
3,Uninvaded,Disturbed,Grassland,3DGL.2,8096,3DGL,118,28.40509006,4009,2664.801911,1.530025638,2.986314273,12,17605.6594,3835.438753,42786.99911
3,Uninvaded,Disturbed,Grassland,3DGL.3,8097,3DGL,167,42.9646833,4214,3235.664908,1.530025638,2.986314273,12,20072.20626,5264.906954,10544.30336
3,Uninvaded,Disturbed,Grassland,3DGL.4,8098,3DGL,179,42.84856386,3126,2839.111462,1.530025638,2.986314273,12,11036.24772,1657.076596,43159.63163
3,Uninvaded,Disturbed,Grassland,3DGL.5,8099,3DGL,141,32.20263356,4295,3338.134561,1.530025638,2.986314273,12,25531.27593,3576.55042,24767.48684
