"plot","MAP","sample","Active_C_mgkg.1","C.mgperkg","N.mgperkg","P.mgperkg","Mg.mgperkg","Mn.mgperkg","Fe.mgperkg","K.mgperkg","Ca.mgperkg","pH","Beta_umolgSOC.1h.1","Nag_umolgSOC.1h.1","Phos_umolgSOC.1h.1","log.beta","log.nag","block","invasion","disturbance","vegetation.type","Sequencing.name","fungal.spec.richness","fungal.fisher.alpha","bacterial.spec.richness","bacterial.fisher.alpha","plant.shannon","plant.invsimpson","plant.spec.richness","PC1.soil","PC2.soil"
"2DML",649.10390176,"2DML.1",981.5655,14010,1573.333333,365,4644,1594,435,3493,41729,7.26,4224.204916,879.7464522,3798.523679,8.34858633652002,6.77963374345699,2,"Uninvaded","Disturbed","Motte",8045,156,39.64184182,2994,1506.939323,1.551522807,3.588100686,7,-4.11648297642089,0.548687899238244
"2DML",649.10390176,"2DML.2",936.7114,8460,960,339,3038,578,388,2366,21160,7.53,5170.501831,1813.040649,3373.107539,8.55072502874933,7.50276063135293,2,"Uninvaded","Disturbed","Motte",8046,193,49.39953074,2978,2188.795577,1.551522807,3.588100686,7,-1.68514612264348,1.42550145103887
"2DML",649.10390176,"2DML.3",932.0613,6890,770,199,1102,550,441,1535,9111,6.87,10984.19503,1793.506951,24938.85591,9.30421270311683,7.49192817262694,2,"Uninvaded","Disturbed","Motte",8047,200,50.87588809,4683,3207.862542,1.551522807,3.588100686,7,0.741537368736885,1.99370439384939
"2DML",649.10390176,"2DML.4",1064.208,10270,1080,397,1619,583,411,2085,13894,6.92,4327.404676,686.5776769,11114.45431,8.3727232593092,6.53171936796956,2,"Uninvaded","Disturbed","Motte",8048,223,56.91671014,2904,2448.52959,1.551522807,3.588100686,7,-1.29636083130796,0.0759054594357339
"2DML",649.10390176,"2DML.5",996.8221,6180,675,142,666,452,1164,1507,3893,4.63,4661.743565,2916.487452,41169.9865,8.44714481272035,7.97813524376716,2,"Uninvaded","Disturbed","Motte",8049,172,47.75497223,3427,2169.603554,1.551522807,3.588100686,7,3.49221027854877,0.239654243279921
"3DML",648.563739519999,"3DML.1",1036.208,10730,1160,545,2061,558,532,1953,17791,6.05,15919.11911,2745.257782,11489.61594,9.67527612558106,7.91763025918831,3,"Uninvaded","Disturbed","Motte",8085,181,43.61458553,3037,2135.983945,1.303052294,3.141357593,5,-1.22192783783139,-0.894137678996864
"3DML",648.563739519999,"3DML.2",1075.941,13020,1540,606,3559,608,407,2924,31010,6.9,5750.868218,1335.170353,6792.512112,8.65710611682767,7.19681416793694,3,"Uninvaded","Disturbed","Motte",8086,133,32.19897515,3058,1651.980645,1.303052294,3.141357593,5,-3.30480739563581,-0.901584946363132
"3DML",648.563739519999,"3DML.3",1028.885,7680,880,264,854,370,760,1779,6146,6.11,13816.39245,2264.300781,38755.87904,9.533611024895,7.72502128429738,3,"Uninvaded","Disturbed","Motte",8087,254,69.38488961,403,1399.870682,1.303052294,3.141357593,5,1.40513710244888,0.0206615184792187
"3DML",648.563739519999,"3DML.4",1045.807,13520,1400,299,1556,549,439,2134,11011,7.11,5525.627801,1238.912596,6254.374927,8.61715214907092,7.12198933515371,3,"Uninvaded","Disturbed","Motte",8088,134,34.75940815,3481,1887.45191,1.303052294,3.141357593,5,-1.43788432356616,-0.020786328857373
"3DML",648.563739519999,"3DML.5",1024.365,5740,600,254,1700,416,558,1750,7077,6.37,22986.53258,4470.339024,40171.72404,10.0426637834158,8.40521952902688,3,"Uninvaded","Disturbed","Motte",8089,235,60.78505382,4078,3118.228547,1.303052294,3.141357593,5,1.10954953179009,1.12945603781131
"2UMN",648.426989439999,"2UMN.1",908.2296,8540,800,472,1170,424,887,1677,6024,5.36,1144.580984,416.3636417,310.7034016,7.04279389617283,6.03155901712645,2,"Invaded","Undisturbed","Motte",8030,187,48.69037653,2016,1206.218946,0.191444082,1.099750623,2,1.56927265529662,-0.652619177716128
"2UMN",648.426989439999,"2UMN.2",1035.416,11790,1040,345,1561,400,837,1751,8865,5.92,2485.16212,956.5508058,8899.33274,7.81809317583935,6.86333390383142,2,"Invaded","Undisturbed","Motte",8031,184,46.80344738,3572,2172.757525,0.191444082,1.099750623,2,0.261286273047722,-1.03159610026896
"2UMN",648.426989439999,"2UMN.3",1028.737,12090,1200,300,2080,515,518,2147,13084,6.76,10114.63234,3752.232672,19302.51414,9.22173840094322,8.23010632099658,2,"Invaded","Undisturbed","Motte",8032,179,43.67296338,2402,2236.398528,0.191444082,1.099750623,2,-1.19815720405601,-0.0183283841555634
"2UMN",648.426989439999,"2UMN.4",1078.817,9080,940,202,1063,504,816,1608,10046,5.8,2750.452963,964.5010573,7192.365551,7.91952089091497,6.87161092856084,2,"Invaded","Undisturbed","Motte",8033,165,39.21857365,3787,2484.963561,0.191444082,1.099750623,2,0.832303542985277,-0.140515527514084
"2UMN",648.426989439999,"2UMN.5",975.9466,21170,1820,147,794,515,800,1503,4617,5.54,2222.669296,1803.01521,10386.25347,7.70646413816528,7.49721565910783,2,"Invaded","Undisturbed","Motte",8034,164,39.40087718,2397,1325.28776,0.191444082,1.099750623,2,0.620739843341299,-0.878774468768509
"2UML",648.477267999999,"2UML.1",920.7267,7150,740,295,495,43,1171,711,2812,5.07,2605.801146,4263.640799,10499.32068,7.8654954485569,8.35787872191264,2,"Uninvaded","Undisturbed","Motte",8025,93,23.6177752,2399,879.4492496,0.771502809,1.770526316,3,5.34877049001769,-1.39569180383005
"2UML",648.477267999999,"2UML.2",1031.705,6570,670,223,689,205,1255,974,3818,5.38,3754.927778,1565.91446,7111.929483,8.23082433045801,7.35622525181491,2,"Uninvaded","Undisturbed","Motte",8026,170,42.272214,2418,1659.263939,0.771502809,1.770526316,3,3.7535417993186,-0.56114317005269
"2UML",648.477267999999,"2UML.3",1138.139,7140,680,303,673,129,1330,884,4680,4.82,5052.506373,2026.076471,7669.450728,8.52763971063274,7.61385642891369,2,"Uninvaded","Undisturbed","Motte",8027,163,41.47538723,2564,1043.349545,0.771502809,1.770526316,3,3.852928326229,-2.02479337102148
"2UML",648.477267999999,"2UML.4",1005.531,6970,640,404,496,67,1674,1039,2399,5.07,26099.60531,7731.157102,48733.89627,10.1696754709742,8.95301382015915,2,"Uninvaded","Undisturbed","Motte",8028,128,32.79692022,1989,863.8335082,0.771502809,1.770526316,3,5.01166624127766,-2.11926382991015
"2UML",648.477267999999,"2UML.5",1062.999,7060,680,308,505,171,1310,729,3875,4.43,3236.553272,1077.348357,2432.343357,8.08226423760601,6.98225807611079,2,"Uninvaded","Undisturbed","Motte",8029,142,35.8598067,1896,850.284287,0.771502809,1.770526316,3,4.45318452635669,-1.83435607340311
